Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__-1-0-0,778.945338,1101.455538,178.500882,88597725,0.226806641,0.24868949,9.808605788,0.159348961,0
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-0,1.686762,0.007038,0.416754,426234,0.276123047,0.421046305,8.651104627,0.044630645,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-1,2.58321,0.011004,0.636228,597543,0.281738281,0.422182493,8.553833679,0.044059677,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-10,10.57122,0.045918,2.588952,2123817,0.340576172,0.423583449,8.405615136,0.043620739,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-100,89.87973,0.391344,21.977994,17297448,0.913574219,0.423692858,8.339953491,0.043394497,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-101,90.754932,0.395076,22.19196,17466052,0.91796875,0.423684971,8.33943731,0.043397609,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-102,91.627488,0.398838,22.405152,17635175,0.924560547,0.423678643,8.338818628,0.043403767,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-103,92.509932,0.40263,22.620768,17803849,0.928955078,0.423677629,8.338680393,0.043405688,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-104,93.389676,0.406446,22.836198,17972067,0.934570313,0.423674269,8.338125031,0.043400307,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-105,94.26918,0.410292,23.05164,18140282,0.94140625,0.423674334,8.337698447,0.043394483,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-106,95.151276,0.414162,23.267616,18309067,0.947509766,0.423672643,8.337044456,0.043388803,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-107,96.026724,0.417954,23.482266,18476936,0.952148438,0.423665882,8.336521281,0.043384399,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-108,96.907482,0.4218,23.697984,18646244,0.957763672,0.423664656,8.3360753,0.04337888,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-109,97.788678,0.42564,23.914026,18815120,0.959960938,0.423661222,8.335588957,0.043371869,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-11,11.448342,0.049734,2.803098,2291574,0.346679688,0.423597752,8.402141319,0.043642427,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-110,98.666406,0.429438,24.128556,18982806,0.965576172,0.423655884,8.335328188,0.043374415,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-111,99.538134,0.433206,24.341676,19149250,0.970703125,0.423653254,8.335132735,0.043379182,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-112,100.413642,0.436968,24.555654,19316150,0.977294922,0.423647993,8.334798426,0.043383328,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-113,101.29017,0.440802,24.7701,19483597,0.982910156,0.42364229,8.334414116,0.043386341,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-114,102.164352,0.444534,24.983574,19651149,0.989257813,0.423637394,8.334280078,0.043389789,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-115,103.039914,0.448314,25.19751,19818121,0.995605469,0.423635446,8.333925281,0.043392145,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-116,103.915578,0.452082,25.411608,19986283,1.000488281,0.423628695,8.333738835,0.043396782,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-117,104.814276,0.456066,25.631724,20159067,1.005126953,0.423636781,8.333891217,0.043392087,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-118,105.704304,0.459942,25.849446,20329169,1.012451172,0.423643442,8.334551726,0.043388009,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-119,106.598454,0.463908,26.068176,20501555,1.018066406,0.423651387,8.334759965,0.043384623,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-12,12.32823,0.053556,3.018,2460195,0.352294922,0.423638355,8.400990562,0.04360835,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-120,107.496234,0.467868,26.288184,20674150,1.024902344,0.423657032,8.335140122,0.043381239,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-121,108.38925,0.471774,26.506326,20844440,1.032714844,0.423662767,8.335389446,0.043383002,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-122,109.279092,0.47565,26.72361,21014382,1.037109375,0.423667134,8.335922025,0.043388824,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-123,110.16516,0.479526,26.94006,21183862,1.041259766,0.423669026,8.336448248,0.043392554,1
../blacksholes\small\config-4-100\2-blackscholes-small-4core-100cache-x86__1-1-124,111.055962,0.483402,27.157806,21355329,1.047119141,0.423673991,8.33669908,0.04339327,1
