Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__-1-0-0,779.048718,1101.455508,178.534902,72505547,0.768554688,0.248703443,9.807116339,0.159334358,0
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__0-2-0,215.153418,1.455234,52.460358,41839326,1.907470703,0.423617952,8.335357345,0.043393337,2
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-0,1.684596,0.007038,0.416172,425302,0.275390625,0.421209374,8.660445682,0.044649808,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-1,2.581938,0.011004,0.636006,596262,0.282470703,0.422166129,8.551360606,0.04403732,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-10,10.578816,0.045972,2.590848,2122484,0.341064453,0.423585894,8.404508331,0.043621239,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-100,89.891478,0.391368,21.98097,17286294,0.914794922,0.423694885,8.34009887,0.043392444,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-101,90.762888,0.395106,22.193886,17452739,0.920898438,0.423683834,8.339469624,0.043397898,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-102,91.63671,0.398892,22.40748,17619707,0.926513672,0.423678576,8.338737991,0.043404078,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-103,92.519394,0.402684,22.623168,17788235,0.932373047,0.423677841,8.338537745,0.043405857,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-104,93.397836,0.406506,22.83819,17956297,0.939697266,0.423674254,8.338023159,0.043400725,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-105,94.278894,0.410322,23.053902,18123949,0.945068359,0.423672058,8.337525395,0.04339543,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-106,95.160702,0.414192,23.269854,18292262,0.953369141,0.423667978,8.337133213,0.043389013,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-107,96.038034,0.418014,23.484966,18459880,0.958251953,0.423667528,8.336369795,0.043385032,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-108,96.918906,0.421854,23.700948,18627867,0.965576172,0.423663258,8.335963055,0.043378518,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-109,97.79709,0.425694,23.916108,18795548,0.972167969,0.423662965,8.335483342,0.043372358,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-11,11.45505,0.049764,2.804706,2289648,0.346923828,0.423597157,8.401858444,0.043649495,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-110,98.673636,0.42948,24.130332,18962178,0.977783203,0.423656867,8.335213504,0.043374704,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-111,99.551922,0.43329,24.345156,19129731,0.984863281,0.423654029,8.334899301,0.043379143,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-112,100.427562,0.437028,24.559104,19296616,0.990966797,0.423648256,8.334811146,0.043384319,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-113,101.308752,0.440862,24.77448,19464991,0.996582031,0.42364122,8.334587265,0.04338642,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-114,102.185496,0.444648,24.988812,19631927,1.003417969,0.423636579,8.334102808,0.043390538,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-115,103.06056,0.448404,25.202604,19798577,1.009033203,0.423631234,8.33390368,0.043393373,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-116,103.93755,0.45219,25.417128,19966121,1.014648438,0.423631018,8.333524285,0.043396327,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-117,104.834928,0.456126,25.63656,20137950,1.022460938,0.423637584,8.334081908,0.043391625,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-118,105.72483,0.460062,25.854426,20307595,1.028564453,0.423643576,8.334489384,0.043388935,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-119,106.62015,0.463998,26.073474,20478768,1.034667969,0.423651254,8.334832006,0.043385473,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-12,12.337896,0.05361,3.020322,2459111,0.353027344,0.423658691,8.400493006,0.043610582,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-120,107.513838,0.467922,26.292468,20650205,1.042724609,0.423656497,8.335129884,0.043380104,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-121,108.405756,0.471828,26.510286,20820459,1.047363281,0.423661888,8.335442677,0.043382633,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-122,109.298004,0.475704,26.728116,20990777,1.055419922,0.423667512,8.336126335,0.043387794,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-123,110.187426,0.47961,26.945418,21160088,1.061279297,0.423668797,8.336557852,0.043392164,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-124,111.07845,0.483486,27.163242,21330098,1.067871094,0.423673857,8.336757548,0.043392317,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-125,111.961872,0.487362,27.379614,21498947,1.073242188,0.423676449,8.336592662,0.043387756,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-126,112.846116,0.491268,27.596232,21667886,1.078857422,0.423678159,8.336494642,0.043383097,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-127,113.73285,0.495144,27.813072,21837866,1.088378906,0.423680995,8.336453869,0.043381831,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-128,114.609144,0.49893,28.027032,22006489,1.092773438,0.423682442,8.336741955,0.043385257,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-129,115.488078,0.502782,28.241514,22174577,1.099121094,0.423680641,8.336642639,0.043390592,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-13,13.223526,0.057516,3.236724,2628310,0.359863281,0.423706936,8.397662143,0.043558858,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-130,116.362272,0.506544,28.45503,22341932,1.107177734,0.42368205,8.336907966,0.04339289,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-131,117.244116,0.51042,28.67061,22510910,1.111816406,0.423687089,8.337221208,0.043389101,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-132,118.130814,0.514326,28.88697,22680588,1.118896484,0.423694601,8.337510279,0.043386066,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-133,119.016408,0.518226,29.103258,22851359,1.125976563,0.423701586,8.337825897,0.043383803,1
../blacksholes\small\config-8-40\2-blackscholes-small-8core-40cache-x86__1-1-134,119.897742,0.522048,29.31816,23020059,1.132324219,0.423705319,8.338373569,0.043387307,1
