Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__-1-0-0,778.944432,1101.455538,178.50057,88587568,0.245605469,0.248689394,9.808594749,0.159349239,0
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-0,1.68993,0.007068,0.417396,426195,0.275634766,0.421082057,8.645867998,0.044691372,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-1,2.584692,0.011034,0.636534,597261,0.282226563,0.422182552,8.550684192,0.0440762,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-10,10.574664,0.045942,2.589876,2125453,0.338623047,0.423593275,8.404871884,0.04361676,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-100,89.860152,0.39123,21.973176,17298839,0.908935547,0.423693792,8.340025555,0.043393363,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-101,90.737142,0.395016,22.187532,17466263,0.912841797,0.423689536,8.339342494,0.043396535,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-102,91.608762,0.398742,22.400442,17633322,0.918212891,0.423678194,8.338934082,0.043404322,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-103,92.489112,0.40254,22.615674,17800961,0.923583984,0.423679474,8.338751837,0.043404853,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-104,93.364722,0.406362,22.830132,17968684,0.930419922,0.423674256,8.338050187,0.043401326,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-105,94.244634,0.410184,23.045514,18137096,0.937011719,0.423671774,8.337554486,0.043396385,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-106,95.125854,0.414024,23.261238,18305318,0.944580078,0.423669705,8.337205298,0.043389866,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-107,96.005202,0.41784,23.476836,18473563,0.949707031,0.423666302,8.336522814,0.043384466,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-108,96.884682,0.42168,23.692386,18641761,0.954589844,0.423663497,8.336054663,0.043377986,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-109,97.766142,0.42555,23.908464,18810694,0.959472656,0.423664713,8.335691811,0.043371419,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-11,11.452122,0.049734,2.804022,2292891,0.346191406,0.423600308,8.402591393,0.043643024,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-110,98.641302,0.429336,24.122454,18977937,0.964599609,0.423657938,8.335286114,0.04337494,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-111,99.518898,0.433122,24.336858,19144994,0.970458984,0.423654924,8.335153808,0.043378895,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-112,100.391076,0.436884,24.550248,19311870,0.978759766,0.423647538,8.33478734,0.043384328,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-113,101.268324,0.44067,24.764448,19479258,0.984130859,0.423642038,8.334648091,0.043386794,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-114,102.14559,0.444444,24.978906,19646836,0.989501953,0.423638705,8.334419283,0.04338949,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-115,103.021434,0.44823,25.193058,19813896,0.995849609,0.42363244,8.333873513,0.043393144,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-116,103.894128,0.451962,25.406442,19981521,1.002197266,0.423628447,8.333672052,0.043395451,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-117,104.787648,0.455928,25.62501,20153398,1.010009766,0.423636973,8.333975146,0.043391983,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-118,105.678738,0.459858,25.843236,20323334,1.015625,0.423644976,8.33441258,0.043388684,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-119,106.574604,0.463818,26.062464,20495332,1.020996094,0.423652907,8.334599796,0.043384923,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-12,12.335682,0.05361,3.01977,2462257,0.353515625,0.423646602,8.399828175,0.043610606,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-120,107.468766,0.467724,26.281338,20667296,1.02734375,0.423656994,8.335056039,0.043380896,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-121,108.359214,0.47163,26.498886,20837582,1.033935547,0.423663572,8.335530974,0.043382503,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-122,109.24878,0.475506,26.716122,21007651,1.039794922,0.423667509,8.335987068,0.04338751,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-123,110.139828,0.479382,26.93379,21177888,1.044189453,0.423669092,8.336507923,0.043391517,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-124,111.028518,0.483288,27.150948,21348234,1.048339844,0.423673488,8.336806573,0.043393181,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-125,111.909414,0.487134,27.366744,21518017,1.055175781,0.423676603,8.336597608,0.043387989,1
../blacksholes\small\config-4-80\2-blackscholes-small-4core-80cache-x86__1-1-126,112.794804,0.49104,27.58359,21689485,1.060546875,0.423677868,8.336462909,0.04338362,1
