Filename,Normalized integer,Normalized floating,Normalized control,Cycles,Normalized time avg,Ratio Memory,Ratio branches,Ratio call,Phase
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-129,115.45923,0.502638,28.234428,22171520,1.099853516,0.42368054,8.33665207,0.043389581,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-13,13.226382,0.057516,3.23745,2630552,0.361083984,0.42370524,8.398460225,0.043558356,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-130,116.3352,0.506454,28.44846,22339084,1.106445313,0.423684622,8.336755792,0.043392788,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-131,117.220266,0.51033,28.664808,22508967,1.111816406,0.423690677,8.337192667,0.043388464,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-132,118.106034,0.514206,28.881018,22678400,1.119140625,0.423695366,8.337650875,0.043385659,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-133,118.991232,0.518082,29.097096,22848452,1.125976563,0.423700471,8.337916108,0.043383298,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-134,119.866314,0.521934,29.310558,23016058,1.132568359,0.423705476,8.338236531,0.043387096,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-135,120.744114,0.52575,29.524368,23183834,1.138427734,0.423707786,8.338715585,0.043390937,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-136,121.622496,0.529542,29.738538,23352195,1.144042969,0.423709668,8.339089686,0.043395207,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-137,122.506236,0.533418,29.95452,23521046,1.150878906,0.423711224,8.339149857,0.043393785,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-138,123.389718,0.537294,30.17076,23690259,1.156982422,0.423714164,8.338976818,0.043389626,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-139,124.273776,0.54117,30.387432,23859417,1.162841797,0.423716287,8.338887352,0.04338491,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-14,14.10936,0.061392,3.452994,2799739,0.368164063,0.42375912,8.398510607,0.043532656,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-140,125.159208,0.545046,30.603696,24028676,1.169189453,0.423718096,8.338811441,0.043384956,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-141,126.039408,0.548862,30.818934,24197413,1.175292969,0.423718828,8.33893507,0.04338703,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-142,126.920856,0.552738,31.034334,24366146,1.182128906,0.423718586,8.338802224,0.043389041,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-143,127.800618,0.55653,31.249122,24534164,1.188964844,0.423717452,8.338957187,0.043392067,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-144,128.679954,0.560406,31.464672,24702366,1.194824219,0.423718506,8.338804003,0.043387327,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-145,129.562764,0.564282,31.680678,24871463,1.201660156,0.42371924,8.338754293,0.043383352,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-146,130.440456,0.568104,31.89537,25040323,1.208740234,0.423721494,8.338763485,0.043381406,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-147,131.31798,0.57192,32.1099,25208197,1.215087891,0.423718322,8.338790624,0.043383442,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-148,132.202332,0.575766,32.325942,25377467,1.220703125,0.423718865,8.339076156,0.043385093,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-149,133.07649,0.579588,32.539626,25544403,1.226318359,0.42371465,8.33900281,0.043389128,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-15,14.991444,0.065238,3.667968,2968630,0.373779297,0.423801751,8.397817064,0.043541274,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-150,133.957326,0.58338,32.755014,25712211,1.233886719,0.423713614,8.338825148,0.043386823,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-151,134.837172,0.587226,32.970714,25880260,1.239746094,0.423710454,8.338277953,0.043382318,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-152,135.720738,0.591072,33.186996,26048855,1.24609375,0.423708329,8.337917459,0.043379461,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-153,136.60467,0.594918,33.403254,26218373,1.252685547,0.423708818,8.337789877,0.043375954,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-154,137.484828,0.598794,33.619014,26386924,1.259277344,0.423705606,8.337229978,0.043374026,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-155,138.35973,0.602586,33.833142,26555204,1.264892578,0.423704314,8.336953516,0.043371024,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-156,139.238622,0.606348,34.047702,26723131,1.271972656,0.423703474,8.336691478,0.043371561,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-157,140.114976,0.610164,34.26171,26890008,1.278808594,0.42369912,8.336587623,0.043375768,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-158,140.992704,0.613926,34.476036,27057796,1.284179688,0.423695043,8.336389132,0.043379175,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-159,141.872214,0.617706,34.690686,27225691,1.291503906,0.423693462,8.336310451,0.04338127,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-16,15.870354,0.069054,3.882252,3136572,0.379882813,0.423815386,8.398532936,0.043558223,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-160,142.750956,0.621504,34.905096,27392911,1.296386719,0.423690032,8.336033701,0.043385527,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-161,143.62782,0.62526,35.11968,27560119,1.302734375,0.42368418,8.335687479,0.043387297,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-162,144.51141,0.629106,35.335476,27728812,1.309326172,0.423682663,8.335384528,0.043391633,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-163,145.388334,0.632898,35.550012,27896609,1.315673828,0.423681531,8.335195645,0.043388846,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-164,146.270196,0.63672,35.765976,28064672,1.322509766,0.423679041,8.334943185,0.043385535,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-165,147.14877,0.640536,35.980974,28232415,1.326904297,0.423678215,8.334632052,0.043382928,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-166,148.027068,0.644376,36.196434,28399897,1.334960938,0.423675459,8.334328234,0.043378141,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-167,148.908744,0.648246,36.412428,28568592,1.340332031,0.423677427,8.333992642,0.043374422,1
../blacksholes\small\config-8-100\2-blackscholes-small-8core-100cache-x86__1-1-168,149.786562,0.652092,36.62763,28736250,1.347412109,0.423672524,8.333559106,0.043371357,1
